s_0328[c],dmlz
s_0329[er],gpail_hs
s_0331[er],acgpail_hs
s_0335[c],6pgl
s_0340[c],6pgc
s_0341[c],dann
s_0342[e],dann
s_0343[c],dhnpt
s_0344[m],dhnpt
s_0345[c],dhpmp
s_0346[c],ahdt
s_0347[c],dhpt
s_0348[m],dhpt
s_0349[c],2dda7p
s_0350[m],2dda7p
s_0352[c],8aonn
s_0354[e],8aonn
s_0357[c],xan
s_0358[e],xan
s_0359[c],acald
s_0360[e],acald
s_0361[m],acald
s_0362[c],ac
s_0363[er],ac
s_0364[e],ac
s_0365[m],ac
s_0366[n],ac
s_0367[c],aacoa
s_0370[m],aacoa
s_0372[m],acACP
s_0373[c],accoa
s_0376[m],accoa
s_0377[n],accoa
s_0378[p],accoa
s_0383[c],ade
s_0384[e],ade
s_0385[m],ade
s_0386[c],adn
s_0387[e],adn
s_0389[c],amp2p
s_0390[c],pap
s_0391[e],pap
s_0392[m],pap
s_0393[c],dcamp
s_0394[c],adp
s_0395[er],adp
s_0397[m],adp
s_0398[n],adp
s_0399[p],adp
s_0402[n],adprib
s_0403[c],aicar
s_0404[c],alatrna
s_0405[c],alltt
s_0406[e],alltt
s_0407[c],alltn
s_0408[e],alltn
s_0409[c],tre6p
s_0410[c],gal1p
s_0411[c],gam1p
s_0412[c],gam6p
s_0413[e],gam6p
s_0415[c],r1p
s_0416[m],r1p
s_0417[c],aacald
s_0418[c],aact
s_0419[c],nh4
s_0420[e],nh4
s_0421[m],nh4
s_0423[c],amp
s_0424[m],amp
s_0425[n],amp
s_0426[p],amp
s_0427[c],anth
s_0428[c],argtrna
s_0429[m],argtrna
s_0430[c],asntrna
s_0431[m],asntrna
s_0432[c],asptrna
s_0433[m],asptrna
s_0434[c],atp
s_0435[er],atp
s_0437[m],atp
s_0438[n],atp
s_0439[p],atp
s_0441[c],ala_B
s_0442[c],f26bp
s_0443[c],mpdol
s_0444[g],mpdol
s_0445[c],hco3
s_0446[e],hco3
s_0447[m],hco3
s_0448[n],hco3
s_0450[c],biomass
s_0451[c],btn
s_0452[e],btn
s_0453[c],btamp
s_0454[m],b124tc
s_0455[c],cbp
s_0456[c],co2
s_0457[er],co2
s_0458[e],co2
s_0460[m],co2
s_0461[n],co2
s_0462[p],co2
s_0465[m],malACP
s_0467[c],cdp
s_0468[n],cdp
s_0469[c],cdpchol
s_0474[c],cdpea
s_0475[er],cer1_24
s_0476[g],cer1_24
s_0477[m],cer1_24
s_0478[er],cer1_26
s_0479[g],cer1_26
s_0480[m],cer1_26
s_0481[er],cer2_24
s_0482[g],cer2_24
s_0483[m],cer2_24
s_0484[er],cer2_26
s_0485[g],cer2_26
s_0486[m],cer2_26
s_0493[er],cer3_24
s_0494[g],cer3_24
s_0495[m],cer3_24
s_0496[er],cer3_26
s_0497[g],cer3_26
s_0498[m],cer3_26
s_0507[er],hexc
s_0509[c],chtn
s_0510[ce],chitos
s_0511[ce],chol
s_0512[c],chol
s_0513[e],chol
s_0514[c],cholp
s_0515[c],chor
s_0516[c],acon_C
s_0517[m],acon_C
s_0522[c],cit
s_0523[e],cit
s_0524[m],cit
s_0525[p],cit
s_0526[c],cmp
s_0528[m],cmp
s_0529[c],coa
s_0530[er],coa
s_0531[lp],coa
s_0532[m],coa
s_0533[n],coa
s_0534[p],coa
s_0538[c],cpppg3
s_0539[c],ctp
s_0541[m],ctp
s_0542[c],cystrna
s_0543[c],cytd
s_0544[e],cytd
s_0545[c],csn
s_0546[e],csn
s_0547[c],Dara14lac
s_0548[c],arab__D
s_0549[e],arab__D
s_0550[c],eig3p
s_0551[c],e4p
s_0552[m],e4p
s_0553[c],fru
s_0554[e],fru
s_0555[c],fdp
s_0556[c],f1p
s_0557[c],f6p
s_0558[c],gal
s_0559[e],gal
s_0560[e],galur
s_0561[c],sbt__D
s_0562[e],sbt__D
s_0563[c],glc__D
s_0565[e],glc__D
s_0566[v],glc__D
s_0567[c],g1p
s_0568[c],g6p
s_0570[c],glyald
s_0571[c],man
s_0572[e],man
s_0573[c],man1p
s_0574[c],man6p
s_0575[c],rib__D
s_0576[e],rib__D
s_0577[c],ru5p__D
s_0578[c],xyl__D
s_0579[e],xyl__D
s_0580[c],xylu__D
s_0581[c],xu5p__D
s_0582[c],dadp
s_0583[n],dadp
s_0584[c],damp
s_0585[m],damp
s_0586[c],datp
s_0587[c],dcdp
s_0588[n],dcdp
s_0589[c],dcmp
s_0590[c],dctp
s_0591[c],dnad
s_0593[n],dnad
s_0595[c],dca
s_0597[e],dca
s_0600[p],dca
s_0605[p],dccoa
s_0606[lp],decdp
s_0610[c],dcyt
s_0611[e],dcyt
s_0612[c],dtbt
s_0613[c],dgdp
s_0614[n],dgdp
s_0615[c],dgmp
s_0616[m],dgmp
s_0617[c],dgtp
s_0618[c],didp
s_0620[er],dag_hs
s_0625[c],dhf
s_0626[m],dhf
s_0627[m],dhlam
s_0628[m],dhlpro
s_0629[c],dhap
s_0631[lp],dhap
s_0632[m],dhap
s_0633[c],ppi
s_0635[lp],ppi
s_0636[m],ppi
s_0637[n],ppi
s_0638[p],ppi
s_0639[c],ditp
s_0642[c],dolichol
s_0644[er],dolmanp
s_0645[c],dolp
s_0646[er],dolp
s_0647[c],dtdp
s_0649[c],dtmp
s_0650[c],dttp
s_0651[e],dttp
s_0652[c],dudp
s_0653[n],dudp
s_0654[c],dump
s_0655[n],dump
s_0656[c],dutp
s_0657[c],epist
s_0659[e],epist
s_0662[c],ergtetrol
s_0663[er],ergtetrol
s_0664[c],ergtrol
s_0665[ce],ergst
s_0666[c],ergst
s_0667[er],ergst
s_0668[e],ergst
s_0669[lp],ergst
s_0670[c],ergst3glc
s_0677[c],e4hglu
s_0678[m],e4hglu
s_0679[p],e4hglu
s_0680[c],etoh
s_0681[e],etoh
s_0682[m],etoh
s_0683[c],etha
s_0684[e],etha
s_0687[c],fad
s_0688[m],fad
s_0689[c],fadh2
s_0690[m],fadh2
s_0692[lp],frdp
s_0699[ce],fecost
s_0700[c],fecost
s_0702[e],fecost
s_0703[lp],fecost
s_0709[m],ficytc
s_0710[m],focytc
s_0712[m],pheme
s_0713[m],fmettrna
s_0714[c],fmn
s_0715[e],fmn
s_0716[m],fmn
s_0717[c],fmnh2
s_0719[c],fol
s_0720[e],fol
s_0721[c],fald
s_0722[c],for
s_0723[e],for
s_0724[m],for
s_0725[c],fum
s_0726[e],fum
s_0727[m],fum
s_0734[c],4abut
s_0736[e],4abut
s_0738[m],4abut
s_0739[c],gdp
s_0740[g],gdp
s_0741[m],gdp
s_0742[n],gdp
s_0743[c],gdpmann
s_0744[g],gdpmann
s_0745[c],grdp
s_0746[lp],ggdp
s_0747[c],glntrna
s_0748[c],glutrna
s_0749[m],glutrna
s_0750[c],gthrd
s_0751[e],gthrd
s_0752[m],gthrd
s_0753[v],gthrd
s_0754[c],gthox
s_0755[e],gthox
s_0756[m],gthox
s_0757[c],glytrna
s_0764[c],g3p
s_0765[c],glyc
s_0766[e],glyc
s_0767[c],glyc3p
s_0769[lp],glyc3p
s_0770[m],glyc3p
s_0771[c],dha
s_0773[c],glycogen
s_0774[v],glycogen
s_0775[c],gcald
s_0776[e],gcald
s_0777[m],gcald
s_0779[c],glx
s_0780[e],glx
s_0781[p],glx
s_0782[c],gmp
s_0783[g],gmp
s_0785[c],gtp
s_0786[m],gtp
s_0787[c],gua
s_0788[e],gua
s_0789[m],gua
s_0790[c],gsn
s_0791[e],gsn
s_0792[m],gsn
s_0793[ce],h
s_0794[c],h
s_0795[er],h
s_0796[e],h
s_0797[g],h
s_0798[lp],h
s_0799[m],h
s_0800[n],h
s_0801[p],h
s_0802[v],h
s_0803[c],h2o
s_0804[er],h2o
s_0805[e],h2o
s_0806[g],h2o
s_0807[m],h2o
s_0808[n],h2o
s_0809[p],h2o
s_0810[v],h2o
s_0811[m],hemeA
s_0812[m],hemeO
s_0815[lp],hepdp
s_0816[c],hexccoa
s_0817[er],hexccoa
s_0819[p],hexccoa
s_0823[p],hdd2coa
s_0825[er],hxdcal
s_0826[e],hxdcal
s_0830[lp],hexdp
s_0831[m],hexdp
s_0832[c],histrna
s_0833[m],histrna
s_0836[m],hicit
s_0837[c],h2o2
s_0838[m],h2o2
s_0839[n],h2o2
s_0840[p],h2o2
s_0841[c],h2s
s_0843[c],hxan
s_0844[e],hxan
s_0846[c],idp
s_0847[c],iletrna
s_0848[m],iletrna
s_0849[c],imp
s_0850[c],id3acald
s_0851[e],id3acald
s_0852[m],id3acald
s_0853[c],ind3ac
s_0854[m],ind3ac
s_0855[c],indpyr
s_0856[c],ins
s_0857[e],ins
s_0924[c],fe2
s_0925[e],fe2
s_0926[m],fe2
s_0927[c],iamac
s_0928[e],iamac
s_0929[c],iamoh
s_0930[e],iamoh
s_0931[m],iamoh
s_0932[c],ibutoh
s_0933[e],ibutoh
s_0934[m],ibutoh
s_0935[c],ibutac
s_0936[e],ibutac
s_0937[c],2mppal
s_0938[e],2mppal
s_0939[m],2mppal
s_0940[c],icit
s_0941[m],icit
s_0942[p],icit
s_0943[c],ipdp
s_0944[lp],ipdp
s_0945[m],ipdp
s_0946[m],itacon
s_0949[m],itaccoa
s_0950[c],itp
s_0951[c],phpyr
s_0952[c],2aobut
s_0953[c],L2aadp
s_0954[m],4hglusa
s_0955[c],ala__L
s_0956[e],ala__L
s_0957[m],ala__L
s_0958[c],athr__L
s_0959[c],L2aadp6sa
s_0960[c],2amsa
s_0961[c],abt
s_0962[e],abt
s_0963[c],arab__L
s_0964[e],arab__L
s_0965[c],arg__L
s_0966[e],arg__L
s_0967[m],arg__L
s_0968[v],arg__L
s_0969[c],asn__L
s_0970[e],asn__L
s_0971[m],asn__L
s_0972[v],asn__L
s_0973[c],asp__L
s_0974[e],asp__L
s_0975[m],asp__L
s_0976[p],asp__L
s_0977[v],asp__L
s_0978[c],aspsa
s_0979[c],citr__L
s_0980[c],cyst__L
s_0981[c],cys__L
s_0982[e],cys__L
s_0983[c],cgly
s_0984[c],cysi__L
s_0985[v],cysi__L
s_0986[c],glu5p
s_0987[c],gluala
s_0988[c],glucys
s_0989[c],sbt__L
s_0990[e],sbt__L
s_0991[c],glu__L
s_0992[e],glu__L
s_0993[m],glu__L
s_0994[n],glu__L
s_0995[p],glu__L
s_0996[v],glu__L
s_0997[c],glu5sa
s_0999[c],gln__L
s_1000[e],gln__L
s_1001[n],gln__L
s_1002[v],gln__L
s_1003[c],gly
s_1004[e],gly
s_1005[m],gly
s_1006[c],his__L
s_1007[e],his__L
s_1008[m],his__L
s_1009[v],his__L
s_1010[c],histd
